Time stamp,Power,avg_temp
1677131739.0151203, 0.0, 40.25
1677131739.215433, 0.0, 37.75
1677131739.4157336, 0.0, 37.5
1677131739.6160352, 0.0, 37.5
1677131739.8163397, 0.0, 37.5
1677131740.0166504, 3.443, 36.75
1677131740.2169642, 3.443, 38.5
1677131740.417257, 3.443, 37.75
1677131740.6175559, 3.443, 36.75
1677131740.8178573, 3.443, 39.5
1677131741.0181644, 3.443, 40.5
1677131741.2185006, 4.271, 38.75
1677131741.4188025, 4.271, 38.75
1677131741.6191394, 4.271, 37.75
1677131741.8194518, 4.271, 38.0
1677131742.0197594, 4.271, 37.5
1677131742.2200558, 3.943, 37.5
1677131742.4203796, 3.943, 38.0
1677131742.6206965, 3.943, 38.0
1677131742.8210037, 3.943, 38.0
1677131743.0213058, 3.943, 37.75
1677131743.2215924, 4.611, 40.75
1677131743.421888, 4.611, 38.0
1677131743.6222248, 4.611, 44.75
1677131743.8225698, 4.611, 49.5
1677131744.022884, 10.344, 52.25
1677131744.2232013, 10.344, 54.25
1677131744.4234903, 10.344, 55.0
1677131744.6238, 10.344, 55.75
1677131744.8241189, 10.344, 56.75
1677131745.0244117, 10.344, 57.75
1677131745.2247143, 10.344, 58.0
1677131745.4250047, 10.451, 58.0
1677131745.6252959, 10.451, 58.75
1677131745.8256261, 10.451, 59.25
1677131746.0259542, 10.451, 59.5
1677131746.2262874, 10.741, 60.5
1677131746.426595, 10.741, 60.5
1677131746.6268985, 10.741, 60.75
1677131746.827231, 10.741, 60.5
1677131747.0275395, 10.741, 61.25
1677131747.2278457, 10.741, 61.5
1677131747.428161, 10.741, 61.75
1677131747.6284838, 10.741, 61.75
1677131747.828793, 10.741, 63.0
1677131748.0290883, 10.867, 62.25
1677131748.2293818, 10.867, 62.5
1677131748.429695, 10.867, 63.0
1677131748.6300163, 10.867, 61.75
1677131748.8303273, 10.867, 62.75
1677131749.030624, 10.359, 63.5
1677131749.2309313, 10.359, 63.75
1677131749.4312346, 10.359, 63.25
1677131749.6315508, 10.359, 63.0
1677131749.8318622, 10.359, 63.25
1677131750.0321836, 10.359, 64.0
1677131750.2324924, 10.588, 63.75
1677131750.4327993, 10.588, 63.25
1677131750.633095, 10.588, 63.5
1677131750.8334053, 10.588, 63.75
1677131751.0337353, 10.588, 64.25
1677131751.234038, 10.756, 64.0
1677131751.4343479, 10.756, 64.5
1677131751.634656, 10.756, 63.75
1677131751.8349833, 10.756, 64.5
1677131752.0352404, 11.054, 64.25
1677131752.235561, 11.054, 65.0
1677131752.4358747, 11.054, 64.25
1677131752.6361835, 11.054, 65.5
1677131752.8364859, 11.054, 64.75
1677131753.0367913, 11.042, 65.0
1677131753.2371197, 11.042, 65.5
1677131753.4374323, 11.042, 65.25
1677131753.63778, 11.042, 65.5
1677131753.83811, 11.042, 65.5
1677131754.038422, 10.87, 66.25
1677131754.2387319, 10.87, 66.5
1677131754.439032, 10.87, 65.75
1677131754.6392338, 10.87, 65.5
1677131754.8395522, 10.87, 65.5
1677131755.0398688, 10.87, 65.25
1677131755.2401793, 10.71, 66.25
1677131755.4404867, 10.71, 66.25
1677131755.6408243, 10.71, 65.75
1677131755.8411255, 10.71, 66.25
1677131756.0414472, 10.71, 66.0
1677131756.2417617, 10.764, 66.0
1677131756.442079, 10.764, 66.25
1677131756.6423767, 10.764, 66.5
1677131756.8426793, 10.764, 66.75
1677131757.0429924, 11.134, 66.25
1677131757.2432246, 11.134, 67.25
1677131757.4435198, 11.134, 66.75
1677131757.6438444, 11.134, 67.25
1677131757.8441448, 11.134, 67.25
1677131758.0444458, 10.989, 67.75
1677131758.2447362, 10.989, 68.0
1677131758.4450305, 10.989, 67.0
1677131758.6453438, 10.989, 67.0
1677131758.845683, 10.989, 67.5
1677131759.0460458, 10.989, 67.25
1677131759.2463698, 11.39, 67.75
1677131759.4466722, 11.39, 67.75
1677131759.6469927, 11.39, 67.5
1677131759.8471751, 11.39, 67.0
1677131760.0474772, 11.39, 67.25
1677131760.2477937, 10.886, 67.75
1677131760.4481158, 10.886, 67.5
1677131760.6484208, 10.886, 67.25
1677131760.8487198, 10.886, 68.25
1677131761.0490344, 11.214, 68.25
1677131761.2493289, 11.214, 67.5
1677131761.449653, 11.214, 67.5
1677131761.6499803, 11.214, 68.0
1677131761.8503368, 11.214, 68.25
1677131762.0506546, 11.153, 68.25
1677131762.2509565, 11.153, 67.5
1677131762.4512599, 11.153, 68.25
1677131762.6515749, 11.153, 68.0
1677131762.851877, 11.153, 68.0
1677131763.0522234, 11.233, 68.0
1677131763.2525296, 11.233, 67.5
1677131763.4528255, 11.233, 67.5
1677131763.6531281, 11.233, 68.25
1677131763.8534646, 11.233, 68.25
1677131764.0538094, 11.233, 68.0
1677131764.2541244, 11.283, 68.0
1677131764.454431, 11.283, 68.25
1677131764.6547377, 11.283, 69.25
1677131764.8550363, 11.283, 68.25
1677131765.055214, 11.046, 67.5
1677131765.2555325, 11.046, 68.25
1677131765.4558492, 11.046, 68.25
1677131765.656162, 11.046, 69.0
1677131765.8564546, 11.046, 69.0
1677131766.0567687, 11.046, 68.75
1677131766.257088, 11.038, 68.75
1677131766.457417, 11.038, 69.0
1677131766.6577566, 11.038, 68.25
1677131766.8580744, 11.038, 68.5
1677131767.0583723, 10.859, 69.25
1677131767.258682, 10.859, 69.25
1677131767.4590049, 10.859, 68.25
1677131767.6592407, 10.859, 69.0
1677131767.8595586, 10.859, 69.25
1677131768.0598695, 11.397, 68.75
1677131768.2601764, 11.397, 69.75
1677131768.460477, 11.397, 69.25
1677131768.6608567, 11.397, 69.0
1677131768.86142, 11.397, 69.25
1677131769.0619836, 11.397, 69.0
1677131769.262527, 11.248, 69.0
1677131769.4630694, 11.248, 69.25
1677131769.6636138, 11.248, 69.25
1677131769.864154, 11.248, 70.0
1677131770.0647109, 11.248, 68.75
1677131770.265249, 11.103, 69.0
1677131770.4657452, 11.103, 69.0
1677131770.6662858, 11.103, 68.75
1677131770.8668373, 11.103, 70.0
1677131771.067383, 10.68, 69.5
1677131771.267888, 10.68, 69.25
1677131771.4683797, 10.68, 69.75
1677131771.6689155, 10.68, 69.25
1677131771.869449, 10.68, 69.5
1677131772.0699923, 11.527, 69.25
1677131772.2705328, 11.527, 70.0
1677131772.4710243, 11.527, 70.25
1677131772.6715498, 11.527, 68.5
1677131772.8720763, 11.527, 69.5
1677131773.072631, 10.886, 69.75
1677131773.2731678, 10.886, 70.0
1677131773.4736645, 10.886, 69.5
1677131773.674199, 10.886, 70.0
1677131773.8747542, 10.886, 70.25
1677131774.0752995, 11.321, 70.0
1677131774.2758346, 11.321, 70.25
1677131774.4763482, 11.321, 70.0
1677131774.6768732, 11.321, 70.0
1677131774.8774068, 11.321, 70.0
1677131775.077911, 11.321, 69.75
1677131775.2784264, 11.157, 70.25
1677131775.4789488, 11.157, 70.25
1677131775.6794758, 11.157, 70.0
1677131775.880018, 11.157, 70.0
1677131776.0805507, 11.157, 70.75
1677131776.2810605, 11.661, 70.0
1677131776.4815888, 11.661, 70.5
1677131776.682116, 11.661, 71.0
1677131776.8826375, 11.661, 70.75
1677131777.0833974, 11.661, 70.75
1677131777.2839267, 11.401, 70.75
1677131777.4844718, 11.401, 71.0
1677131777.6849902, 11.401, 70.75
1677131777.8855155, 11.401, 70.25
1677131778.0860558, 11.401, 70.25
1677131778.2866004, 11.015, 70.75
1677131778.48724, 11.015, 69.0
1677131778.6877635, 11.015, 70.25
1677131778.8882961, 11.015, 70.25
1677131779.0888276, 11.615, 70.25
1677131779.2893412, 11.615, 70.5
1677131779.4898756, 11.615, 70.25
1677131779.690413, 11.615, 71.25
1677131779.8909547, 11.615, 71.0
1677131780.091491, 11.462, 70.0
1677131780.2920256, 11.462, 70.75
1677131780.4925294, 11.462, 70.25
1677131780.6930618, 11.462, 71.0
1677131780.893608, 11.462, 71.0
1677131781.0941527, 11.638, 71.25
1677131781.2946696, 11.638, 71.0
1677131781.4953868, 11.638, 70.75
1677131781.6959245, 11.638, 70.75
1677131781.8964362, 11.638, 70.75
1677131782.0969806, 11.573, 70.5
1677131782.2974963, 11.573, 71.0
1677131782.498016, 11.573, 71.0
1677131782.6985407, 11.573, 71.0
1677131782.8990598, 11.573, 70.5
1677131783.0995786, 11.443, 71.0
1677131783.3000786, 11.443, 71.0
1677131783.5006053, 11.443, 70.75
1677131783.7011409, 11.443, 70.75
1677131783.901667, 11.443, 71.25
1677131784.102181, 11.054, 71.25
1677131784.3027172, 11.054, 71.0
1677131784.503315, 11.054, 71.25
1677131784.703912, 11.054, 71.0
1677131784.904463, 11.054, 71.0
1677131785.1049585, 10.87, 70.75
1677131785.3056276, 10.87, 72.25
1677131785.50619, 10.87, 71.75
1677131785.706725, 10.87, 71.0
1677131785.9074228, 10.87, 71.0
1677131786.1078641, 10.87, 71.5
1677131786.3081985, 10.87, 71.25
1677131786.5085397, 11.828, 71.25
1677131786.70886, 11.828, 71.5
1677131786.90929, 11.828, 72.0
1677131787.1098197, 11.828, 71.0
1677131787.3103597, 11.37, 71.25
1677131787.510902, 11.37, 71.0
1677131787.711441, 11.37, 71.25
1677131787.9119976, 11.37, 71.25
1677131788.1125576, 11.351, 71.25
1677131788.313092, 11.351, 71.75
